V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
2011,1,41,102,641,1014,1798,37,99,583,923,1642
2011,2,37,99,583,923,1642,33,96,521,709,1359
2012,1,33,96,521,709,1359,31,96,498,525,1150
2012,2,31,96,498,525,1150,30,94,488,482,1094
2013,1,30,94,488,482,1094,30,96,486,321,933
2013,2,30,96,486,321,933,30,98,485,236,849
2014,1,30,98,485,236,849,30,100,439,189,758
2014,2,30,100,439,189,758,29,101,421,165,716
2015,1,29,101,421,165,716,31,112,392,161,696
2015,2,31,112,392,161,696,35,114,359,157,665
2016,1,35,114,359,157,665,35,117,342,151,645
2016,2,35,117,342,151,645,35,120,319,146,620
2017,1,35,120,319,146,620,39,131,289,149,608
2017,2,39,131,289,149,608,43,148,267,150,608
2018,1,43,148,267,150,608,46,148,241,131,566
2018,2,46,148,241,131,566,47,147,238,110,542
2019,1,47,147,238,110,542,47,147,231,91,516
2019,2,47,147,231,91,516,48,146,228,85,507
2020,1,48,146,228,85,507,48,141,226,85,500
2020,2,48,141,226,85,500,46,133,224,85,488
2021,1,46,133,224,85,488,48,139,219,67,473
2021,2,48,139,219,67,473,48,145,166,55,414
2022,1,48,145,166,55,414,48,141,142,54,385
2022,2,48,141,142,54,385,48,132,124,51,355
2023,1,48,132,124,51,355,48,121,102,49,320
2023,2,48,121,102,49,320,47,117,90,42,296
